ID,Cause_Name,Deaths,Age-adjusted_Death_Rate,State
1,Unintentional injuries,169936,49.4,United States
2,Unintentional injuries,2703,53.8,Alabama
3,Unintentional injuries,436,63.7,Alaska
4,Unintentional injuries,4184,56.2,Arizona
5,Unintentional injuries,1625,51.8,Arkansas
6,Unintentional injuries,13840,33.2,California
7,Unintentional injuries,3037,53.6,Colorado
8,Unintentional injuries,2078,53.2,Connecticut
9,Unintentional injuries,608,61.9,Delaware
10,Unintentional injuries,427,61,District of Columbia
11,Unintentional injuries,13059,56.1,Florida
12,Unintentional injuries,4712,45.2,Georgia
13,Unintentional injuries,585,35.7,Hawaii
14,Unintentional injuries,876,49.8,Idaho
15,Unintentional injuries,6019,44.4,Illinois
16,Unintentional injuries,3978,58.7,Indiana
17,Unintentional injuries,1536,42.8,Iowa
18,Unintentional injuries,1567,49.4,Kansas
19,Unintentional injuries,3264,72.9,Kentucky
20,Unintentional injuries,2780,58.9,Louisiana
21,Unintentional injuries,990,68,Maine
22,Unintentional injuries,2408,36.9,Maryland
23,Unintentional injuries,3821,51.5,Massachusetts
24,Unintentional injuries,5623,53,Michigan
25,Unintentional injuries,2788,44.6,Minnesota
26,Unintentional injuries,1738,56.3,Mississippi
27,Unintentional injuries,3776,58.8,Missouri
28,Unintentional injuries,579,50.2,Montana
29,Unintentional injuries,811,38.5,Nebraska
30,Unintentional injuries,1496,47.8,Nevada
31,Unintentional injuries,907,62.9,New Hampshire
32,Unintentional injuries,4482,47.3,New Jersey
33,Unintentional injuries,1460,68.3,New Mexico
34,Unintentional injuries,7687,35.5,New York
35,Unintentional injuries,5985,56.3,North Carolina
36,Unintentional injuries,339,41.3,North Dakota
37,Unintentional injuries,8971,75.1,Ohio
38,Unintentional injuries,2563,62.5,Oklahoma
39,Unintentional injuries,2076,44.8,Oregon
40,Unintentional injuries,9527,70.2,Pennsylvania
41,Unintentional injuries,718,60,Rhode Island
42,Unintentional injuries,3147,60.2,South Carolina
43,Unintentional injuries,537,56.1,South Dakota
44,Unintentional injuries,4435,63,Tennessee
45,Unintentional injuries,10763,38.8,Texas
46,Unintentional injuries,1238,44.2,Utah
47,Unintentional injuries,394,56.9,Vermont
48,Unintentional injuries,3922,44,Virginia
49,Unintentional injuries,3455,44,Washington
50,Unintentional injuries,1892,100.3,West Virginia
51,Unintentional injuries,3746,58.3,Wisconsin
52,Unintentional injuries,348,56.9,Wyoming
53,All causes,2813503,731.9,United States
54,All causes,53238,917.7,Alabama
55,All causes,4411,708.8,Alaska
56,All causes,57758,678.5,Arizona
57,All causes,32588,900.1,Arkansas
58,All causes,268189,618.7,California
59,All causes,38063,663.4,Colorado
60,All causes,31312,651.2,Connecticut
61,All causes,9178,749.6,Delaware
62,All causes,4965,725.4,District of Columbia
63,All causes,203636,672.1,Florida
64,All causes,83098,793.7,Georgia
65,All causes,11390,584.9,Hawaii
66,All causes,14011,741.8,Idaho
67,All causes,109721,724.2,Illinois
68,All causes,65597,848.6,Indiana
69,All causes,30530,737,Iowa
70,All causes,27063,771.2,Kansas
71,All causes,48212,929.9,Kentucky
72,All causes,45804,881.1,Louisiana
73,All causes,14676,771.6,Maine
74,All causes,49926,718.1,Maryland
75,All causes,58803,677.1,Massachusetts
76,All causes,97602,783.5,Michigan
77,All causes,44371,656.4,Minnesota
78,All causes,32280,951.3,Mississippi
79,All causes,61876,820.1,Missouri
80,All causes,10200,757.5,Montana
81,All causes,16878,726,Nebraska
82,All causes,24657,765.5,Nevada
83,All causes,12504,717.3,New Hampshire
84,All causes,74846,667.5,New Jersey
85,All causes,18673,754.7,New Mexico
86,All causes,155358,623.6,New York
87,All causes,93157,785.6,North Carolina
88,All causes,6415,692.7,North Dakota
89,All causes,123648,849.7,Ohio
90,All causes,40452,902.4,Oklahoma
91,All causes,36624,717.2,Oregon
