ID,Cause_Name,State
1,Unintentional injuries,United States
2,Unintentional injuries,Alabama
3,Unintentional injuries,Alaska
4,Unintentional injuries,Arizona
5,Unintentional injuries,Arkansas
6,Unintentional injuries,California
7,Unintentional injuries,Colorado
8,Unintentional injuries,Connecticut
9,Unintentional injuries,Delaware
10,Unintentional injuries,District of Columbia
11,Unintentional injuries,Florida
12,Unintentional injuries,Georgia
13,Unintentional injuries,Hawaii
14,Unintentional injuries,Idaho
15,Unintentional injuries,Illinois
16,Unintentional injuries,Indiana
17,Unintentional injuries,Iowa
18,Unintentional injuries,Kansas
19,Unintentional injuries,Kentucky
20,Unintentional injuries,Louisiana
21,Unintentional injuries,Maine
22,Unintentional injuries,Maryland
23,Unintentional injuries,Massachusetts
24,Unintentional injuries,Michigan
25,Unintentional injuries,Minnesota
26,Unintentional injuries,Mississippi
27,Unintentional injuries,Missouri
28,Unintentional injuries,Montana
29,Unintentional injuries,Nebraska
30,Unintentional injuries,Nevada
31,Unintentional injuries,New Hampshire
32,Unintentional injuries,New Jersey
33,Unintentional injuries,New Mexico
34,Unintentional injuries,New York
35,Unintentional injuries,North Carolina
36,Unintentional injuries,North Dakota
37,Unintentional injuries,Ohio
38,Unintentional injuries,Oklahoma
39,Unintentional injuries,Oregon
40,Unintentional injuries,Pennsylvania
41,Unintentional injuries,Rhode Island
42,Unintentional injuries,South Carolina
43,Unintentional injuries,South Dakota
44,Unintentional injuries,Tennessee
45,Unintentional injuries,Texas
46,Unintentional injuries,Utah
47,Unintentional injuries,Vermont
48,Unintentional injuries,Virginia
49,Unintentional injuries,Washington
50,Unintentional injuries,West Virginia
51,Unintentional injuries,Wisconsin
52,Unintentional injuries,Wyoming
53,All causes,United States
54,All causes,Alabama
55,All causes,Alaska
56,All causes,Arizona
57,All causes,Arkansas
58,All causes,California
59,All causes,Colorado
60,All causes,Connecticut
61,All causes,Delaware
62,All causes,District of Columbia
63,All causes,Florida
64,All causes,Georgia
65,All causes,Hawaii
66,All causes,Idaho
67,All causes,Illinois
68,All causes,Indiana
69,All causes,Iowa
70,All causes,Kansas
71,All causes,Kentucky
72,All causes,Louisiana
73,All causes,Maine
74,All causes,Maryland
75,All causes,Massachusetts
76,All causes,Michigan
77,All causes,Minnesota
78,All causes,Mississippi
79,All causes,Missouri
80,All causes,Montana
81,All causes,Nebraska
82,All causes,Nevada
83,All causes,New Hampshire
84,All causes,New Jersey
85,All causes,New Mexico
86,All causes,New York
87,All causes,North Carolina
88,All causes,North Dakota
89,All causes,Ohio
90,All causes,Oklahoma
91,All causes,Oregon
92,All causes,Pennsylvania
93,All causes,Rhode Island
94,All causes,South Carolina
95,All causes,South Dakota
96,All causes,Tennessee
97,All causes,Texas
98,All causes,Utah
99,All causes,Vermont
100,All causes,Virginia
101,All causes,Washington
102,All causes,West Virginia
103,All causes,Wisconsin
104,All causes,Wyoming
105,Alzheimer's disease,United States
106,Alzheimer's disease,Alabama
107,Alzheimer's disease,Alaska
108,Alzheimer's disease,Arizona
109,Alzheimer's disease,Arkansas
110,Alzheimer's disease,California
111,Alzheimer's disease,Colorado
112,Alzheimer's disease,Connecticut
113,Alzheimer's disease,Delaware
114,Alzheimer's disease,District of Columbia
115,Alzheimer's disease,Florida
116,Alzheimer's disease,Georgia
117,Alzheimer's disease,Hawaii
118,Alzheimer's disease,Idaho
