"ID","Year","113_Cause_Name","Cause_Name_Year","State","Deaths","Age-adjusted_Death_Rate"
"1",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","United States","169936","49.4"
"2",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Alabama","2703","53.8"
"3",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Alaska","436","63.7"
"4",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Arizona","4184","56.2"
"5",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Arkansas","1625","51.8"
"6",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","California","13840","33.2"
"7",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Colorado","3037","53.6"
"8",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Connecticut","2078","53.2"
"9",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Delaware","608","61.9"
"10",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","District of Columbia","427","61"
"11",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Florida","13059","56.1"
"12",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Georgia","4712","45.2"
"13",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Hawaii","585","35.7"
"14",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Idaho","876","49.8"
"15",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Illinois","6019","44.4"
"16",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Indiana","3978","58.7"
"17",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Iowa","1536","42.8"
"18",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Kansas","1567","49.4"
"19",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Kentucky","3264","72.9"
"20",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Louisiana","2780","58.9"
"21",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Maine","990","68"
"22",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Maryland","2408","36.9"
"23",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Massachusetts","3821","51.5"
"24",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Michigan","5623","53"
"25",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Minnesota","2788","44.6"
"26",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Mississippi","1738","56.3"
"27",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Missouri","3776","58.8"
"28",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Montana","579","50.2"
"29",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Nebraska","811","38.5"
"30",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Nevada","1496","47.8"
"31",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","New Hampshire","907","62.9"
"32",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","New Jersey","4482","47.3"
"33",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","New Mexico","1460","68.3"
"34",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","New York","7687","35.5"
"35",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","North Carolina","5985","56.3"
"36",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","North Dakota","339","41.3"
"37",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Ohio","8971","75.1"
"38",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Oklahoma","2563","62.5"
"39",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Oregon","2076","44.8"
"40",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Pennsylvania","9527","70.2"
"41",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Rhode Island","718","60"
"42",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","South Carolina","3147","60.2"
"43",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","South Dakota","537","56.1"
"44",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Tennessee","4435","63"
"45",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Texas","10763","38.8"
"46",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Utah","1238","44.2"
"47",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Vermont","394","56.9"
"48",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Virginia","3922","44"
"49",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Washington","3455","44"
"50",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","West Virginia","1892","100.3"
"51",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Wisconsin","3746","58.3"
"52",2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)","Unintentional injuries","Wyoming","348","56.9"
"53",2017,"All Causes","All causes","United States","2813503","731.9"
"54",2017,"All Causes","All causes","Alabama","53238","917.7"
"55",2017,"All Causes","All causes","Alaska","4411","708.8"
"56",2017,"All Causes","All causes","Arizona","57758","678.5"
"57",2017,"All Causes","All causes","Arkansas","32588","900.1"
"58",2017,"All Causes","All causes","California","268189","618.7"
"59",2017,"All Causes","All causes","Colorado","38063","663.4"
"60",2017,"All Causes","All causes","Connecticut","31312","651.2"
"61",2017,"All Causes","All causes","Delaware","9178","749.6"
"62",2017,"All Causes","All causes","District of Columbia","4965","725.4"
"63",2017,"All Causes","All causes","Florida","203636","672.1"
"64",2017,"All Causes","All causes","Georgia","83098","793.7"
"65",2017,"All Causes","All causes","Hawaii","11390","584.9"
"66",2017,"All Causes","All causes","Idaho","14011","741.8"
"67",2017,"All Causes","All causes","Illinois","109721","724.2"
"68",2017,"All Causes","All causes","Indiana","65597","848.6"
"69",2017,"All Causes","All causes","Iowa","30530","737"
"70",2017,"All Causes","All causes","Kansas","27063","771.2"
"71",2017,"All Causes","All causes","Kentucky","48212","929.9"
